Fight,Name,Job,DPS,Rank,patch_number
Brute Bomber,Pandora Lynx,warrior,18004.438656517,58,7.1
Brute Bomber,Seto Alter,gunbreaker,18238.034368753,62,7.1
Brute Bomber,Pandora Lynx,warrior,36242.5,82,7.1
Honey B. Lovely,Kinel Ordo,astrologian,10764.445745863,43,7.1
Honey B. Lovely,Khora Velaceras,sage,14123.117322882,69,7.1
Honey B. Lovely,Kinel Ordo,astrologian,24887.6,73,7.1
Brute Bomber,Kinel Ordo,astrologian,10582.558050131,40,7.1
Brute Bomber,Khora Velaceras,sage,13703.567904557,63,7.1
Brute Bomber,Kinel Ordo,astrologian,24286.1,71,7.1
Honey B. Lovely,Mex Id,dragoon,22650.799996997,20,7.1
Honey B. Lovely,Anastasia Lunet,dancer,20297.635672883,54,7.1
Honey B. Lovely,Priscilla Dreamer,viper,26008.204838417,32,7.1
Honey B. Lovely,Sylveret Jandelain,pictomancer,26940.426928189,74,7.1
Brute Bomber,Mex Id,dragoon,25915.614174832,64,7.1
Brute Bomber,Anastasia Lunet,dancer,19653.802411707,37,7.1
Brute Bomber,Priscilla Dreamer,viper,21408.471025178,1,7.1
Brute Bomber,Sylveret Jandelain,pictomancer,23732.167981755,22,7.1
Black Cat,Rym Kaine,paladin,17841.289693024,61,7.1
Black Cat,Ari Kaisuri,gunbreaker,17981.843051697,63,7.1
Black Cat,Rym Kaine,paladin,35823.1,76,7.1
Honey B. Lovely,Rym Kaine,paladin,18527.460113825,72,7.1
Honey B. Lovely,Ari Kaisuri,gunbreaker,18199.204429023,66,7.1
Honey B. Lovely,Rym Kaine,paladin,36726.7,84,7.1
Brute Bomber,Rym Kaine,paladin,17448.763245232,42,7.1
Brute Bomber,Ari Kaisuri,gunbreaker,17837.674437203,51,7.1
Brute Bomber,Rym Kaine,paladin,35286.4,65,7.1
Wicked Thunder,Rym Kaine,paladin,18412.71209515,57,7.1
Wicked Thunder,Ari Kaisuri,gunbreaker,17291.299921156,29,7.1
Wicked Thunder,Rym Kaine,paladin,35704,63,7.1
Black Cat,Kasa Liunethius,whitemage,13384.05077639,57,7.1
Black Cat,Ki We,sage,14633.307198009,77,7.1
Black Cat,Kasa Liunethius,whitemage,28017.4,84,7.1
Honey B. Lovely,Kasa Liunethius,whitemage,12211.377353779,31,7.1
Honey B. Lovely,Ki We,sage,13136.82098792,50,7.1
Honey B. Lovely,Kasa Liunethius,whitemage,25348.2,60,7.1
Brute Bomber,Kasa Liunethius,whitemage,13494.402814987,56,7.1
Brute Bomber,Ki We,sage,13382.993322404,56,7.1
Brute Bomber,Kasa Liunethius,whitemage,26877.4,79,7.1
Wicked Thunder,Kasa Liunethius,whitemage,12493.43245409,25,7.1
Wicked Thunder,Ki We,sage,13596.096249163,53,7.1
Wicked Thunder,Kasa Liunethius,whitemage,26089.5,58,7.1
Black Cat,Borea Domn,bard,19401.577067958,56,7.1
Black Cat,Lord Ban,monk,24453.962058327,47,7.1
Black Cat,Milennia Cometspark,redmage,22608.941689819,58,7.1
Black Cat,Ye Bunny,viper,29188.36821831,86,7.1
Honey B. Lovely,Borea Domn,bard,19057.246670053,38,7.1
Honey B. Lovely,Lord Ban,monk,20903.481053529,5,7.1
Honey B. Lovely,Milennia Cometspark,redmage,19142.162678767,5,7.1
Honey B. Lovely,Ye Bunny,viper,24553.145691088,16,7.1
Brute Bomber,Borea Domn,bard,16448.899196289,3,7.1
Brute Bomber,Lord Ban,monk,24780.122355952,44,7.1
Brute Bomber,Milennia Cometspark,redmage,20892.22599864,14,7.1
Brute Bomber,Ye Bunny,viper,28479.277060258,72,7.1
Wicked Thunder,Borea Domn,bard,19118.568108529,26,7.1
Wicked Thunder,Lord Ban,monk,21326.239084737,3,7.1
Wicked Thunder,Milennia Cometspark,redmage,18489.220553147,1,7.1
Wicked Thunder,Ye Bunny,viper,27057.892991392,27,7.1
Honey B. Lovely,Snigluf Hoshiyomi,paladin,18811.764728195,79,7.1
Honey B. Lovely,Yume Ame,gunbreaker,17155.883786516,43,7.1
Honey B. Lovely,Snigluf Hoshiyomi,paladin,35967.6,77,7.1
Brute Bomber,Snigluf Hoshiyomi,paladin,17423.240061702,41,7.1
Brute Bomber,Yume Ame,gunbreaker,18610.273954895,72,7.1
Brute Bomber,Snigluf Hoshiyomi,paladin,36033.5,75,7.1
Wicked Thunder,Snigluf Hoshiyomi,paladin,18913.943217108,74,7.1
Wicked Thunder,Yume Ame,gunbreaker,17983.867023377,48,7.1
Wicked Thunder,Snigluf Hoshiyomi,paladin,36897.8,80,7.1
Honey B. Lovely,Yumemi Hime,astrologian,11129.489389707,51,7.1
Honey B. Lovely,Oya Cola,scholar,11849.151574807,62,7.1
Honey B. Lovely,Yumemi Hime,astrologian,22978.6,66,7.1
Brute Bomber,Yumemi Hime,astrologian,11472.329607639,63,7.1
Brute Bomber,Oya Cola,scholar,12569.400470523,82,7.1
Brute Bomber,Yumemi Hime,astrologian,24041.7,82,7.1
Wicked Thunder,Yumemi Hime,astrologian,11275.554069264,49,7.1
Wicked Thunder,Oya Cola,scholar,12347.625796263,75,7.1
Wicked Thunder,Yumemi Hime,astrologian,23623.2,74,7.1
Honey B. Lovely,Sulyn Coca,redmage,24231.890058062,73,7.1
Honey B. Lovely,Yunerya Aldryn,samurai,25211.29521551,35,7.1
Honey B. Lovely,Eden Lay,dancer,20794.378981586,64,7.1
Honey B. Lovely,Rin Akise,viper,29692.959401298,92,7.1
Brute Bomber,Sulyn Coca,redmage,24813.262241675,85,7.1
Brute Bomber,Yunerya Aldryn,samurai,28156.138627115,79,7.1
Brute Bomber,Eden Lay,dancer,21222.430003189,79,7.1
Brute Bomber,Rin Akise,viper,28534.49901328,73,7.1
Wicked Thunder,Sulyn Coca,redmage,24346.780038538,70,7.1
Wicked Thunder,Yunerya Aldryn,samurai,28880.505341503,86,7.1
Wicked Thunder,Eden Lay,dancer,21108.025091486,73,7.1
Wicked Thunder,Rin Akise,viper,29158.459979139,78,7.1
Sugar Riot,Shirayuki Heiko,darkknight,11791.926330107,0,7.2
Sugar Riot,Oceane Aigue,paladin,14777.677021935,29,7.2
Sugar Riot,Shirayuki Heiko,darkknight,26569.6,0,7.2
Sugar Riot,Killa Kilala,whitemage,11709.16652335,42,7.2
Sugar Riot,Ayaka Suzumiya,sage,14714.193023874,98,7.2
Sugar Riot,Killa Kilala,whitemage,26423.4,94,7.2
Sugar Riot,Komi Misliar,blackmage,29029.866637482,99,7.2
Sugar Riot,Oblyan Tenan,dancer,17827.626209722,33,7.2
Sugar Riot,Tiki Manakete,reaper,22055.869983271,31,7.2
Sugar Riot,Damix Lihzeh,viper,21779.39300894,5,7.2
Sugar Riot,Bakali Grunert,paladin,15075.414050875,38,7.2
Sugar Riot,Meldras Llothas,gunbreaker,15652.985304606,47,7.2
Sugar Riot,Bakali Grunert,paladin,30728.4,33,7.2
Sugar Riot,Achlys Dynamis,whitemage,13665.753891036,87,7.2
Sugar Riot,Emeraldgreen Velvet,sage,11543.738388525,48,7.2
Sugar Riot,Achlys Dynamis,whitemage,25209.5,86,7.2
Sugar Riot,Ryuuka Ninomae,blackmage,24021.115640748,48,7.2
Sugar Riot,Nahira Kholin,dancer,16546.850924075,6,7.2
